#SampleID	SampleName	Project	FishType	LoperamidePathogen	SampleRep	Timepoint	TimepointDay	TrialNumber	DateCollected	LoperamideTimepoint	Condition
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical
46-Conv-LB-1	Conv_LB_1	Yersinia	Conv	LB	1		24h	40	20211013		
47-Conv-LB-2	Conv_LB_2	Yersinia	Conv	LB	2		24h	40	20211013		
48-Conv-LB-3	Conv_LB_3	Yersinia	Conv	LB	3		24h	40	20211013		
49-Conv-LB-4	Conv_LB_4	Yersinia	Conv	LB	4		24h	40	20211013		
50-Conv-LB-5	Conv_LB_5	Yersinia	Conv	LB	5		24h	40	20211013		
51-Conv-Ypseudo-1	Conv_Ypseudo_1	Yersinia	Conv	Y. pseudotuberculosis	1		24h	40	20211013		
52-Conv-Ypseudo-2	Conv_Ypseudo_2	Yersinia	Conv	Y. pseudotuberculosis	2		24h	40	20211013		
53-Conv-Ypseudo-3	Conv_Ypseudo_3	Yersinia	Conv	Y. pseudotuberculosis	3		24h	40	20211013		
54-Conv-Ypseudo-4	Conv_Ypseudo_4	Yersinia	Conv	Y. pseudotuberculosis	4		24h	40	20211013		
55-Conv-Ypseudo-5	Conv_Ypseudo_5	Yersinia	Conv	Y. pseudotuberculosis	5		24h	40	20211013		
56-Conv-Yentero-1	Conv_Yentero_1	Yersinia	Conv	Y. enterocolitica	1		24h	40	20211013		
57-Conv-Yentero-2	Conv_Yentero_2	Yersinia	Conv	Y. enterocolitica	2		24h	40	20211013		
58-Conv-Yentero-3	Conv_Yentero_3	Yersinia	Conv	Y. enterocolitica	3		24h	40	20211013		
59-Conv-Yentero-4	Conv_Yentero_4	Yersinia	Conv	Y. enterocolitica	4		24h	40	20211013		
60-Conv-Yentero-5	Conv_Yentero_5	Yersinia	Conv	Y. enterocolitica	5		24h	40	20211013		
61-Conv-Yruck-1	Conv_Yruck_1	Yersinia	Conv	Y. ruckeri	1		24h	40	20211013		
62-Conv-Yruck-2	Conv_Yruck_2	Yersinia	Conv	Y. ruckeri	2		24h	40	20211013		
63-Conv-Yruck-3	Conv_Yruck_3	Yersinia	Conv	Y. ruckeri	3		24h	40	20211013		
64-Conv-Yruck-4	Conv_Yruck_4	Yersinia	Conv	Y. ruckeri	4		24h	40	20211013		
65-Conv-Yruck-5	Conv_Yruck_5	Yersinia	Conv	Y. ruckeri	5		24h	40	20211013		
66-Conv-Ykristen-1	Conv_Ykristen_1	Yersinia	Conv	Y. kristensenii	1		24h	40	20211013		
67-Conv-Ykristen-2	Conv_Ykristen_2	Yersinia	Conv	Y. kristensenii	2		24h	40	20211013		
68-Conv-Ykristen-3	Conv_Ykristen_3	Yersinia	Conv	Y. kristensenii	3		24h	40	20211013		
69-Conv-Ykristen-4	Conv_Ykristen_4	Yersinia	Conv	Y. kristensenii	4		24h	40	20211013		
70-Conv-Ykristen-5	Conv_Ykristen_5	Yersinia	Conv	Y. kristensenii	5		24h	40	20211013		
71-Mix9-1	Mix9_1	Flavo	Mix9		1		24h	47	20220203		Mix9
72-Mix9-2	Mix9_2	Flavo	Mix9		2		24h	47	20220203		Mix9
73-Mix9-3	Mix9_3	Flavo	Mix9		3		24h	47	20220203		Mix9
74-Mix9-4	Mix9_4	Flavo	Mix9		4		24h	47	20220203		Mix9
75-Mix9-5	Mix9_5	Flavo	Mix9		5		24h	47	20220203		Mix9
76-Mix9-6	Mix9_6	Flavo	Mix9		6		24h	47	20220203		Mix9
77-Mix9-7	Mix9_7	Flavo	Mix9		7		24h	47	20220203		Mix9
78-Mix9-8	Mix9_8	Flavo	Mix9		8		24h	47	20220203		Mix9
79-Mix9-9	Mix9_9	Flavo	Mix9		9		24h	47	20220203		Mix9
80-Mix9-10	Mix9_10	Flavo	Mix9		10		24h	47	20220203		Mix9
81-Mix9-Fcol-1	Mix9_Fcol_1	Flavo	Mix9	F. columnare	1		24h	47	20220203		Mix9+Flavo
82-Mix9-Fcol-2	Mix9_Fcol_2	Flavo	Mix9	F. columnare	2		24h	47	20220203		Mix9+Flavo
83-Mix9-Fcol-3	Mix9_Fcol_3	Flavo	Mix9	F. columnare	3		24h	47	20220203		Mix9+Flavo
84-Mix9-Fcol-4	Mix9_Fcol_4	Flavo	Mix9	F. columnare	4		24h	47	20220203		Mix9+Flavo
85-Mix9-Fcol-5	Mix9_Fcol_5	Flavo	Mix9	F. columnare	5		24h	47	20220203		Mix9+Flavo
86-Conv-1	Conv_1	Flavo	Conv		1		24h	47	20220203		Conv
87-Conv-2	Conv_2	Flavo	Conv		2		24h	47	20220203		Conv
88-Conv-3	Conv_3	Flavo	Conv		3		24h	47	20220203		Conv
89-Conv-4	Conv_4	Flavo	Conv		4		24h	47	20220203		Conv
90-Conv-5	Conv_5	Flavo	Conv		5		24h	47	20220203		Conv
91-Conv-6	Conv_6	Flavo	Conv		6		24h	47	20220203		Conv
92-Conv-7	Conv_7	Flavo	Conv		7		24h	47	20220203		Conv
93-Conv-8	Conv_8	Flavo	Conv		8		24h	47	20220203		Conv
94-Conv-9	Conv_9	Flavo	Conv		9		24h	47	20220203		Conv
95-Conv-10	Conv_10	Flavo	Conv		10		24h	47	20220203		Conv
96-Conv-Fcol-1	Conv_Fcol_1	Flavo	Conv	F. columnare	1		24h	47	20220203		Conv+Flavo
97-Conv-Fcol-2	Conv_Fcol_2	Flavo	Conv	F. columnare	2		24h	47	20220203		Conv+Flavo
98-Conv-Fcol-3	Conv_Fcol_3	Flavo	Conv	F. columnare	3		24h	47	20220203		Conv+Flavo
99-Conv-Fcol-4	Conv_Fcol_4	Flavo	Conv	F. columnare	4		24h	47	20220203		Conv+Flavo
100-Conv-Fcol-5	Conv_Fcol_5	Flavo	Conv	F. columnare	5		24h	47	20220203		Conv+Flavo
101-Mock-1	Mock_1	Controls	Control PCR		1						
102-Mock-2	Mock_2	Controls	Control PCR		2						
103-Neg-kit1	Neg_kit1	Controls	Neg kit		1						
104-Neg-kit2	Neg_kit2	Controls	Neg kit		2						
105-Neg-PCR1	Neg_PCR1	Controls	Neg PCR		3						
